combination_id;val1;val2;val3;expn_val
20;Ninth through twelfth grade ~ High school graduate;California -> 0.17150395778364116|Texas -> 0.13192612137203166|Florida -> 0.09498680738786279|;Other service -> 0.27440633245382584|Sales, retail -> 0.08970976253298153|Handler, helper, laborer -> 0.08179419525065963|;200 -> 1.0606860158311346|400 -> 0.10554089709762533|900 -> 0.023746701846965697|
20;Some college, less than college graduate ~ Associate's degree;California -> 0.15436241610738255|Texas -> 0.10234899328859061|Florida -> 0.06879194630872483|;Other service -> 0.1912751677852349|Administrative support, including clerical -> 0.13758389261744966|Professional -> 0.13590604026845637|;200 -> 1.0738255033557047|100 -> 0.25|300 -> 0.18959731543624161|
20;Bachelor's degree ~ Master's degree;Texas -> 0.07894736842105263|Illinois -> 0.07894736842105263|California -> 0.06578947368421052|;Professional -> 0.4|Administrator, manager -> 0.2131578947368421|Teacher -> 0.0868421052631579|;100 -> 1.881578947368421|200 -> 1.1394736842105264|300 -> 1.1026315789473684|
20;Ninth through twelfth grade ~ High school graduate;Texas -> 0.14728682170542637|New York -> 0.07751937984496124|California -> 0.07751937984496124|;Administrative support, including clerical -> 0.21705426356589147|Other service -> 0.15503875968992248|Professional -> 0.08527131782945736|;100 -> 1.2325581395348837|200 -> 0.9457364341085271|400 -> 0.16279069767441862|
20;Associate's degree ~ Bachelor's degree;Texas -> 0.11409395973154363|New York -> 0.08053691275167785|Virginia -> 0.053691275167785234|;Professional -> 0.28859060402684567|Administrator, manager -> 0.18120805369127516|Teacher -> 0.10738255033557047|;100 -> 1.429530201342282|200 -> 0.7583892617449665|400 -> 0.33557046979865773|
20;Associate's degree;California -> 0.08875739644970414|Pennsylvania -> 0.07692307692307693|Illinois -> 0.07100591715976332|;Professional -> 0.25443786982248523|Administrator, manager -> 0.13609467455621302|Other service -> 0.11242603550295859|;300 -> 1.2485207100591715|200 -> 1.1597633136094674|100 -> 0.40828402366863903|
20;null ~ Some college, less than college graduate;Florida -> 0.10759493670886076|California -> 0.08860759493670886|Texas -> 0.08227848101265822|;Other service -> 0.24050632911392406|Mechanic, repairer, precision production -> 0.08860759493670886|Construction, mining -> 0.08227848101265822|;300 -> 1.018987341772152|200 -> 1.018987341772152|100 -> 0.10759493670886076|
20;Master's degree ~ Professional/Doctorate degree;California -> 0.16034985422740525|New York -> 0.07580174927113703|Texas -> 0.0728862973760933|;Professional -> 0.577259475218659|Teacher -> 0.2099125364431487|Administrator, manager -> 0.08746355685131195|;200 -> 0.9970845481049563|300 -> 0.7288629737609329|100 -> 0.5510204081632653|
20;Bachelor's degree;California -> 0.2198952879581152|New York -> 0.0549738219895288|Florida -> 0.049738219895287955|;Professional -> 0.3403141361256545|Administrator, manager -> 0.17539267015706805|Other service -> 0.08638743455497382|;200 -> 1.0863874345549738|300 -> 0.4293193717277487|400 -> 0.15706806282722513|
20;High school graduate ~ Some college, less than college graduate;California -> 0.0875|Texas -> 0.085|Pennsylvania -> 0.0825|;Administrator, manager -> 0.155|Administrative support, including clerical -> 0.14|Professional -> 0.1275|;100 -> 1.54|200 -> 1.175|300 -> 0.9925|
