combination_id;val1;val2;val3;expn_val
4;23 ~ 37;7376 ~ 23705;Other service -> 0.2761904761904762|Sales, retail -> 0.10793650793650794|Administrative support, including clerical -> 0.08888888888888889|;FOR/110 -> 0.11746031746031746|TOY/100 -> 0.11428571428571428|CHE/110 -> 0.11428571428571428|
4;38 ~ 59;211438 ~ 306896;Professional -> 0.6320754716981132|Administrator, manager -> 0.16981132075471697|Teacher -> 0.05660377358490566|;TOY/110 -> 0.16981132075471697|HON/100 -> 0.1509433962264151|CHE/110 -> 0.1320754716981132|
4;49 ~ 66;36446 ~ 52073;Professional -> 0.17486338797814208|Other service -> 0.15846994535519127|Administrative support, including clerical -> 0.1284153005464481|;FOR/110 -> 0.21311475409836064|TOY/100 -> 0.17759562841530055|CHE/110 -> 0.16939890710382513|
4;38 ~ 60;361432 ~ 719147;Professional -> 0.5|Administrator, manager -> 0.2727272727272727|Teacher -> 0.09090909090909091|;FOR/110 -> 0.4090909090909091|CHE/110 -> 0.22727272727272727|BMW/100 -> 0.22727272727272727|
4;32 ~ 53;91287 ~ 110498;Professional -> 0.2872340425531915|Administrator, manager -> 0.14893617021276595|Administrative support, including clerical -> 0.09308510638297872|;FOR/110 -> 0.18617021276595744|CHE/110 -> 0.18085106382978725|HON/100 -> 0.17819148936170212|
4;27 ~ 41;32761 ~ 46632;Other service -> 0.1588785046728972|Professional -> 0.14719626168224298|Administrator, manager -> 0.11682242990654206|;FOR/110 -> 0.16121495327102803|CHE/110 -> 0.14485981308411214|HON/100 -> 0.09579439252336448|
4;36 ~ 60;126227 ~ 162385;Professional -> 0.41379310344827586|Administrator, manager -> 0.23103448275862068|Teacher -> 0.05517241379310345|;FOR/110 -> 0.18275862068965518|TOY/100 -> 0.1793103448275862|TOY/110 -> 0.15862068965517243|
4;28 ~ 42;57664 ~ 74891;Professional -> 0.2810810810810811|Administrator, manager -> 0.11891891891891893|Administrative support, including clerical -> 0.0891891891891892|;FOR/110 -> 0.1945945945945946|HON/100 -> 0.17567567567567569|TOY/100 -> 0.16756756756756758|
4;49 ~ 64;67219 ~ 84296;Professional -> 0.2857142857142857|Administrator, manager -> 0.12087912087912088|Other service -> 0.10622710622710622|;FOR/110 -> 0.24175824175824176|CHE/110 -> 0.23076923076923078|TOY/100 -> 0.21245421245421245|
4;47 ~ 64;7036 ~ 26356;Other service -> 0.20212765957446807|Administrative support, including clerical -> 0.11347517730496454|Professional -> 0.1099290780141844|;FOR/110 -> 0.1773049645390071|TOY/100 -> 0.1347517730496454|CHE/110 -> 0.1276595744680851|
