combination_id;val1;val2;val3;expn_val
2;22 ~ 32;High school graduate ~ Some college, less than college graduate;Other service -> 0.2136986301369863|Sales, retail -> 0.11506849315068493|Professional -> 0.09041095890410959|;CHE/110 -> 0.16164383561643836|FOR/110 -> 0.13424657534246576|HON/100 -> 0.13150684931506848|
2;26 ~ 35;Bachelor's degree ~ Master's degree;Professional -> 0.3455056179775281|Administrator, manager -> 0.15168539325842698|Teacher -> 0.10112359550561797|;TOY/100 -> 0.18258426966292135|HON/100 -> 0.16292134831460675|TOY/110 -> 0.09550561797752809|
2;35 ~ 52;null ~ High school graduate;Other service -> 0.2916666666666667|Handler, helper, laborer -> 0.08928571428571429|Construction, mining -> 0.08928571428571429|;FOR/110 -> 0.32142857142857145|CHE/110 -> 0.2916666666666667|TOY/100 -> 0.14285714285714285|
2;43 ~ 56;Associate's degree ~ Bachelor's degree;Professional -> 0.30303030303030304|Administrator, manager -> 0.15151515151515152|Technician -> 0.1414141414141414|;FOR/110 -> 1.1717171717171717|FOR/100 -> 0.13131313131313133|TOY/100 -> 0.10101010101010101|
2;37 ~ 48;Bachelor's degree ~ Professional/Doctorate degree;Professional -> 0.5734265734265734|Teacher -> 0.17482517482517482|Administrator, manager -> 0.11188811188811189|;TOY/100 -> 0.1958041958041958|HON/100 -> 0.15384615384615385|TOY/110 -> 0.14685314685314685|
2;31 ~ 40;Some college, less than college graduate ~ Associate's degree;Professional -> 0.1746031746031746|Other service -> 0.14285714285714285|Administrator, manager -> 0.13015873015873017|;FOR/110 -> 0.19365079365079366|CHE/110 -> 0.15873015873015872|HON/100 -> 0.1365079365079365|
2;56 ~ 71;Bachelor's degree ~ Professional/Doctorate degree;Professional -> 0.5428571428571428|Teacher -> 0.18285714285714286|Administrator, manager -> 0.10285714285714286|;TOY/100 -> 0.26285714285714284|HON/100 -> 0.21142857142857144|TOY/110 -> 0.08571428571428572|
2;48 ~ 60;Associate's degree ~ Bachelor's degree;Professional -> 0.2990936555891239|Administrator, manager -> 0.2054380664652568|Other service -> 0.09969788519637462|;CHE/110 -> 0.17522658610271905|TOY/100 -> 0.1661631419939577|TOY/110 -> 0.13595166163141995|
2;58 ~ 70;High school graduate ~ Some college, less than college graduate;Other service -> 0.1647940074906367|Administrative support, including clerical -> 0.15730337078651685|Sales, retail -> 0.10486891385767791|;CHE/110 -> 0.21722846441947566|FOR/110 -> 0.21348314606741572|TOY/100 -> 0.17228464419475656|
2;43 ~ 53;High school graduate ~ Some college, less than college graduate;Other service -> 0.1609442060085837|Administrator, manager -> 0.1351931330472103|Administrative support, including clerical -> 0.13304721030042918|;FOR/110 -> 0.2296137339055794|CHE/110 -> 0.2145922746781116|CHE/100 -> 0.12017167381974249|
