combination_id;val1;val2;val3;expn_val
11;25 ~ 53;Ninth through twelfth grade ~ Associate's degree;4913 ~ 22335;200 -> 1.0229357798165137|100 -> 0.30504587155963303|300 -> 0.25229357798165136|
11;52 ~ 69;Some college, less than college graduate ~ Master's degree;35659 ~ 60046;200 -> 1.0852713178294573|100 -> 0.8372093023255814|300 -> 0.7364341085271318|
11;36 ~ 59;Some college, less than college graduate ~ Master's degree;133655 ~ 175108;100 -> 1.118032786885246|200 -> 1.039344262295082|300 -> 0.8163934426229508|
11;35 ~ 60;First through eighth grade ~ Some college, less than college graduate;28357 ~ 47607;200 -> 1.0547368421052632|100 -> 0.4863157894736842|300 -> 0.42947368421052634|
11;39 ~ 59;Associate's degree ~ Professional/Doctorate degree;227931 ~ 329106;200 -> 1.0619469026548674|100 -> 1.0530973451327434|300 -> 0.9026548672566371|
11;26 ~ 43;Associate's degree ~ Master's degree;26927 ~ 48782;200 -> 1.051490514905149|100 -> 0.4363143631436314|300 -> 0.32791327913279134|
11;35 ~ 57;Some college, less than college graduate ~ Master's degree;97354 ~ 117551;200 -> 1.0897435897435896|100 -> 1.0|300 -> 0.7743589743589744|
11;39 ~ 59;Associate's degree ~ Master's degree;431812 ~ 769211;200 -> 1.3529411764705883|100 -> 1.1764705882352942|300 -> 1.1176470588235294|
11;29 ~ 50;Associate's degree ~ Master's degree;65561 ~ 85258;200 -> 1.080691642651297|100 -> 0.7146974063400576|300 -> 0.5936599423631124|
11;34 ~ 57;Ninth through twelfth grade ~ Some college, less than college graduate;62129 ~ 84148;200 -> 1.1173333333333333|100 -> 0.7706666666666667|300 -> 0.6106666666666667|
