combination_id;val1;val2;val3;expn_val
21;3955 ~ 17371;California -> 0.12|Texas -> 0.09866666666666667|Illinois -> 0.06133333333333333|;Other service -> 0.26666666666666666|Sales, retail -> 0.12266666666666666|Administrative support, including clerical -> 0.09866666666666667|;200 -> 1.024|100 -> 0.32266666666666666|300 -> 0.30666666666666664|
21;63352 ~ 74845;California -> 0.16434540389972144|Texas -> 0.09192200557103064|Florida -> 0.08356545961002786|;Professional -> 0.298050139275766|Administrator, manager -> 0.12534818941504178|Other service -> 0.10584958217270195|;200 -> 1.0445682451253482|300 -> 0.46518105849582175|100 -> 0.3593314763231198|
21;139764 ~ 181910;California -> 0.14728682170542637|Illinois -> 0.09689922480620156|Virginia -> 0.06201550387596899|;Professional -> 0.4263565891472868|Administrator, manager -> 0.2248062015503876|Other service -> 0.06976744186046512|;100 -> 1.1046511627906976|200 -> 1.0426356589147288|300 -> 0.8449612403100775|
21;42493 ~ 53209;California -> 0.123046875|Texas -> 0.08984375|Florida -> 0.068359375|;Professional -> 0.193359375|Other service -> 0.150390625|Administrator, manager -> 0.123046875|;200 -> 1.06640625|300 -> 0.4765625|100 -> 0.384765625|
21;233371 ~ 334949;California -> 0.18691588785046728|Virginia -> 0.09345794392523364|New York -> 0.09345794392523364|;Professional -> 0.5700934579439252|Administrator, manager -> 0.19626168224299065|Teacher -> 0.09345794392523364|;200 -> 1.0654205607476634|100 -> 1.0093457943925233|300 -> 0.8785046728971962|
21;25299 ~ 35857;California -> 0.13275862068965516|Texas -> 0.12413793103448276|Florida -> 0.08620689655172414|;Other service -> 0.1724137931034483|Administrative support, including clerical -> 0.12758620689655173|Professional -> 0.11896551724137931|;200 -> 1.039655172413793|100 -> 0.44310344827586207|300 -> 0.3258620689655172|
21;104328 ~ 125134;California -> 0.1286549707602339|Pennsylvania -> 0.06725146198830409|New York -> 0.06432748538011696|;Professional -> 0.32456140350877194|Administrator, manager -> 0.18128654970760233|Administrative support, including clerical -> 0.0935672514619883|;200 -> 1.0935672514619883|100 -> 1.0730994152046784|300 -> 0.7660818713450293|
21;444003 ~ 779363;California -> 0.25|Virginia -> 0.125|Texas -> 0.125|;Professional -> 0.625|Administrator, manager -> 0.25|Administrative support, including clerical -> 0.0625|;200 -> 1.375|300 -> 1.1875|100 -> 1.1875|
21;51000 ~ 69031;Texas -> 0.12727272727272726|Pennsylvania -> 0.09090909090909091|New York -> 0.06666666666666667|;Professional -> 0.16363636363636364|Administrative support, including clerical -> 0.12727272727272726|Administrator, manager -> 0.12727272727272726|;100 -> 2.0727272727272728|200 -> 1.1636363636363636|300 -> 0.9636363636363636|
21;81583 ~ 94672;California -> 0.12398921832884097|Texas -> 0.07547169811320754|Pennsylvania -> 0.0673854447439353|;Professional -> 0.3018867924528302|Administrator, manager -> 0.1293800539083558|Other service -> 0.10512129380053908|;200 -> 1.1185983827493262|100 -> 0.8706199460916442|300 -> 0.7142857142857143|
