combination_id;val1;val2;val3;expn_val
8;First through eighth grade ~ Some college, less than college graduate;16634 ~ 33439;California -> 0.1513157894736842|Texas -> 0.13157894736842105|Florida -> 0.10087719298245613|;FOR/110 -> 0.18421052631578946|CHE/110 -> 0.17105263157894737|TOY/100 -> 0.11842105263157894|
8;Associate's degree ~ Professional/Doctorate degree;204843 ~ 301869;California -> 0.1592920353982301|Illinois -> 0.08849557522123894|Virginia -> 0.07964601769911504|;TOY/110 -> 0.1504424778761062|HON/100 -> 0.1415929203539823|TOY/100 -> 0.13274336283185842|
8;High school graduate ~ Some college, less than college graduate;41548 ~ 58711;California -> 0.12064965197215777|Texas -> 0.09280742459396751|Florida -> 0.0765661252900232|;CHE/110 -> 0.23897911832946636|FOR/110 -> 0.2088167053364269|TOY/100 -> 0.12064965197215777|
8;Associate's degree ~ Professional/Doctorate degree;353747 ~ 711200;California -> 0.30434782608695654|Texas -> 0.17391304347826086|Oregon -> 0.08695652173913043|;FOR/110 -> 0.391304347826087|CHE/110 -> 0.21739130434782608|BMW/100 -> 0.21739130434782608|
8;Associate's degree ~ Master's degree;82088 ~ 104891;California -> 0.13580246913580246|Pennsylvania -> 0.08950617283950617|Texas -> 0.05864197530864197|;TOY/100 -> 0.24691358024691357|HON/100 -> 0.1728395061728395|CHE/110 -> 0.14814814814814814|
8;Associate's degree ~ Master's degree;26037 ~ 42680;California -> 0.11974110032362459|Texas -> 0.09385113268608414|Florida -> 0.09061488673139159|;TOY/100 -> 0.14563106796116504|FOR/110 -> 0.11974110032362459|HON/100 -> 0.11326860841423948|
8;Some college, less than college graduate ~ Master's degree;122335 ~ 157770;California -> 0.14465408805031446|Illinois -> 0.08176100628930817|New Jersey -> 0.06918238993710692|;FOR/110 -> 0.18553459119496854|TOY/100 -> 0.16981132075471697|TOY/110 -> 0.16352201257861634|
8;Associate's degree ~ Master's degree;52745 ~ 68998;California -> 0.13975155279503104|Texas -> 0.10869565217391304|Florida -> 0.07453416149068323|;TOY/100 -> 0.16459627329192547|HON/100 -> 0.15527950310559005|FOR/110 -> 0.13354037267080746|
8;Ninth through twelfth grade ~ Some college, less than college graduate;73041 ~ 98517;Texas -> 0.11038961038961038|California -> 0.09740259740259741|Pennsylvania -> 0.05844155844155844|;FOR/110 -> 0.35064935064935066|CHE/110 -> 0.2597402597402597|TOY/100 -> 0.1331168831168831|
8;High school graduate ~ Bachelor's degree;1749 ~ 14107;California -> 0.11160714285714286|Texas -> 0.07589285714285714|Illinois -> 0.07142857142857142|;FOR/110 -> 0.13839285714285715|TOY/100 -> 0.12053571428571429|CHE/100 -> 0.12053571428571429|
