combination_id;val1;val2;val3;expn_val
14;25 ~ 46;5378 ~ 22392;Other service -> 0.2722772277227723|Sales, retail -> 0.10643564356435643|Professional -> 0.10148514851485149|;200 -> 1.0321782178217822|100 -> 0.2747524752475248|300 -> 0.2103960396039604|
14;48 ~ 65;49632 ~ 65862;Professional -> 0.20474777448071216|Administrator, manager -> 0.12462908011869436|Other service -> 0.11869436201780416|;200 -> 1.0712166172106825|100 -> 0.9584569732937686|300 -> 0.7032640949554896|
14;36 ~ 60;134544 ~ 176027;Professional -> 0.4161073825503356|Administrator, manager -> 0.24161073825503357|Teacher -> 0.06375838926174497|;100 -> 1.1241610738255035|200 -> 1.0436241610738255|300 -> 0.8221476510067114|
14;50 ~ 67;18867 ~ 39969;Other service -> 0.17603911980440098|Administrative support, including clerical -> 0.14425427872860636|Professional -> 0.11735941320293398|;200 -> 1.0048899755501222|300 -> 0.5647921760391198|100 -> 0.5330073349633252|
14;39 ~ 59;228726 ~ 329527;Professional -> 0.5714285714285714|Administrator, manager -> 0.17857142857142858|Teacher -> 0.08928571428571429|;200 -> 1.0625|100 -> 1.0535714285714286|300 -> 0.9017857142857143|
14;27 ~ 41;33366 ~ 48964;Professional -> 0.17485265225933203|Other service -> 0.14734774066797643|Administrator, manager -> 0.11787819253438114|;200 -> 1.0766208251473477|100 -> 0.3889980353634578|300 -> 0.2966601178781925|
14;34 ~ 54;99024 ~ 119054;Professional -> 0.30494505494505497|Administrator, manager -> 0.14560439560439561|Administrative support, including clerical -> 0.08516483516483517|;200 -> 1.0934065934065933|100 -> 0.9120879120879121|300 -> 0.7197802197802198|
14;39 ~ 59;431812 ~ 769211;Professional -> 0.5882352941176471|Administrator, manager -> 0.29411764705882354|Sales, business goods and services -> 0.058823529411764705|;200 -> 1.3529411764705883|100 -> 1.1764705882352942|300 -> 1.1176470588235294|
14;27 ~ 41;62387 ~ 81173;Professional -> 0.28688524590163933|Administrator, manager -> 0.1284153005464481|Other service -> 0.11202185792349727|;200 -> 1.1010928961748634|100 -> 0.4672131147540984|300 -> 0.45901639344262296|
14;44 ~ 62;77132 ~ 92395;Professional -> 0.30111524163568776|Administrator, manager -> 0.137546468401487|Administrative support, including clerical -> 0.11895910780669144|;100 -> 1.1970260223048328|200 -> 1.1263940520446096|300 -> 0.8661710037174721|
