combination_id;val1;val2;val3;expn_val
18;23 ~ 33;High school graduate ~ Some college, less than college graduate;Texas -> 0.11357340720221606|California -> 0.10803324099722991|Florida -> 0.05817174515235457|;200 -> 1.110803324099723|100 -> 0.21052631578947367|300 -> 0.13850415512465375|
18;52 ~ 67;Some college, less than college graduate ~ Associate's degree;California -> 0.1297709923664122|Florida -> 0.08015267175572519|Texas -> 0.07251908396946564|;200 -> 1.0687022900763359|300 -> 0.6450381679389313|100 -> 0.44656488549618323|
18;27 ~ 40;Bachelor's degree;California -> 0.1309255079006772|Texas -> 0.06997742663656885|Virginia -> 0.05417607223476298|;200 -> 1.054176072234763|300 -> 0.4898419864559819|100 -> 0.4650112866817156|
18;42 ~ 52;High school graduate ~ Some college, less than college graduate;California -> 0.10747663551401869|Texas -> 0.07476635514018691|New York -> 0.07242990654205607|;200 -> 1.0093457943925233|100 -> 0.5514018691588785|300 -> 0.5093457943925234|
18;42 ~ 60;Associate's degree ~ Master's degree;Illinois -> 0.07109004739336493|Wisconsin -> 0.06635071090047394|Michigan -> 0.06635071090047394|;100 -> 2.691943127962085|200 -> 1.1421800947867298|300 -> 0.966824644549763|
18;30 ~ 41;Some college, less than college graduate ~ Associate's degree;California -> 0.14681440443213298|Texas -> 0.0997229916897507|Florida -> 0.06371191135734072|;200 -> 1.080332409972299|100 -> 0.5484764542936288|300 -> 0.5096952908587258|
18;35 ~ 53;null ~ High school graduate;California -> 0.2754491017964072|Texas -> 0.23353293413173654|Florida -> 0.07784431137724551|;200 -> 1.0419161676646707|300 -> 0.20359281437125748|100 -> 0.1317365269461078|
18;35 ~ 47;Master's degree ~ Professional/Doctorate degree;California -> 0.19095477386934673|Illinois -> 0.09045226130653267|New York -> 0.08542713567839195|;200 -> 0.949748743718593|100 -> 0.7236180904522613|300 -> 0.6180904522613065|
18;50 ~ 65;Bachelor's degree ~ Master's degree;California -> 0.16751269035532995|Texas -> 0.06598984771573604|Florida -> 0.0583756345177665|;200 -> 1.0583756345177664|300 -> 0.8274111675126904|100 -> 0.5152284263959391|
18;52 ~ 67;Ninth through twelfth grade ~ Some college, less than college graduate;Texas -> 0.09652509652509653|Pennsylvania -> 0.08494208494208494|Florida -> 0.08494208494208494|;100 -> 1.4594594594594594|200 -> 1.16988416988417|300 -> 0.7992277992277992|
