combination_id;val1;val2;val3;expn_val
5;23 ~ 37;7323 ~ 23558;California -> 0.12738853503184713|Texas -> 0.10828025477707007|Illinois -> 0.05732484076433121|;TOY/100 -> 0.11464968152866242|CHE/110 -> 0.11464968152866242|FOR/110 -> 0.11146496815286625|
5;37 ~ 59;213369 ~ 309467;California -> 0.17142857142857143|Illinois -> 0.09523809523809523|Virginia -> 0.08571428571428572|;TOY/110 -> 0.17142857142857143|HON/100 -> 0.1523809523809524|CHE/110 -> 0.13333333333333333|
5;49 ~ 66;36579 ~ 52120;California -> 0.10655737704918032|Florida -> 0.10382513661202186|Texas -> 0.09562841530054644|;FOR/110 -> 0.21584699453551912|TOY/100 -> 0.17486338797814208|CHE/110 -> 0.16939890710382513|
5;37 ~ 60;370150 ~ 727461;California -> 0.2857142857142857|Texas -> 0.19047619047619047|Oregon -> 0.09523809523809523|;FOR/110 -> 0.3333333333333333|CHE/110 -> 0.23809523809523808|BMW/100 -> 0.23809523809523808|
5;32 ~ 53;91530 ~ 110720;California -> 0.12|Pennsylvania -> 0.07733333333333334|Texas -> 0.06666666666666667|;FOR/110 -> 0.184|HON/100 -> 0.18133333333333335|CHE/110 -> 0.18133333333333335|
5;27 ~ 41;32735 ~ 46874;California -> 0.12442396313364056|Texas -> 0.1175115207373272|Florida -> 0.08294930875576037|;FOR/110 -> 0.16359447004608296|CHE/110 -> 0.14285714285714285|HON/100 -> 0.10368663594470046|
5;36 ~ 60;126420 ~ 163195;California -> 0.13793103448275862|Illinois -> 0.07931034482758621|New Jersey -> 0.06896551724137931|;FOR/110 -> 0.18620689655172415|TOY/100 -> 0.1793103448275862|TOY/110 -> 0.15862068965517243|
5;28 ~ 42;58086 ~ 75348;California -> 0.14285714285714285|Texas -> 0.11859838274932614|Florida -> 0.0673854447439353|;FOR/110 -> 0.19137466307277629|TOY/100 -> 0.16711590296495957|HON/100 -> 0.16442048517520216|
5;49 ~ 64;67193 ~ 84369;California -> 0.12639405204460966|Texas -> 0.07806691449814127|Pennsylvania -> 0.07063197026022305|;FOR/110 -> 0.24907063197026022|CHE/110 -> 0.23048327137546468|TOY/100 -> 0.21933085501858737|
5;47 ~ 64;7116 ~ 26503;California -> 0.15547703180212014|Texas -> 0.08833922261484099|Florida -> 0.08480565371024736|;FOR/110 -> 0.17667844522968199|TOY/100 -> 0.13427561837455831|CHE/110 -> 0.127208480565371|
