combination_id;val1;val2;val3;expn_val
15;Ninth through twelfth grade ~ Associate's degree;5191 ~ 21527;Other service -> 0.26744186046511625|Sales, retail -> 0.12325581395348838|Administrative support, including clerical -> 0.10465116279069768|;200 -> 1.0232558139534884|100 -> 0.34651162790697676|300 -> 0.27674418604651163|
15;High school graduate ~ Associate's degree;52579 ~ 67447;Professional -> 0.13314447592067988|Administrator, manager -> 0.13031161473087818|Other service -> 0.12464589235127478|;200 -> 1.0311614730878187|100 -> 0.6657223796033994|300 -> 0.5779036827195467|
15;Some college, less than college graduate ~ Master's degree;136346 ~ 177531;Professional -> 0.42402826855123676|Administrator, manager -> 0.23674911660777384|Teacher -> 0.0636042402826855|;100 -> 1.0918727915194346|200 -> 1.0424028268551238|300 -> 0.8303886925795053|
15;First through eighth grade ~ Some college, less than college graduate;29390 ~ 45018;Other service -> 0.22967479674796748|Administrative support, including clerical -> 0.11382113821138211|Administrator, manager -> 0.07926829268292683|;200 -> 1.079268292682927|100 -> 0.4369918699186992|300 -> 0.3597560975609756|
15;Associate's degree ~ Professional/Doctorate degree;229518 ~ 329951;Professional -> 0.5765765765765766|Administrator, manager -> 0.18018018018018017|Teacher -> 0.09009009009009009|;200 -> 1.063063063063063|100 -> 1.054054054054054|300 -> 0.8828828828828829|
15;Associate's degree ~ Master's degree;25328 ~ 47814;Professional -> 0.2765957446808511|Teacher -> 0.13238770685579196|Administrator, manager -> 0.12056737588652482|;200 -> 1.033096926713948|100 -> 0.5626477541371159|300 -> 0.48936170212765956|
15;Associate's degree ~ Master's degree;99988 ~ 121690;Professional -> 0.35843373493975905|Administrator, manager -> 0.18072289156626506|Teacher -> 0.08433734939759036|;200 -> 1.0783132530120483|100 -> 0.9969879518072289|300 -> 0.7740963855421686|
15;Associate's degree ~ Master's degree;431812 ~ 769211;Professional -> 0.5882352941176471|Administrator, manager -> 0.29411764705882354|Sales, business goods and services -> 0.058823529411764705|;200 -> 1.3529411764705883|100 -> 1.1764705882352942|300 -> 1.1176470588235294|
15;Associate's degree ~ Master's degree;64021 ~ 84594;Professional -> 0.42493638676844786|Administrator, manager -> 0.13486005089058525|Teacher -> 0.11959287531806616|;200 -> 1.083969465648855|100 -> 0.7684478371501272|300 -> 0.638676844783715|
15;Ninth through twelfth grade ~ Some college, less than college graduate;77760 ~ 99024;Administrative support, including clerical -> 0.1553784860557769|Other service -> 0.14741035856573706|Professional -> 0.13147410358565736|;200 -> 1.203187250996016|100 -> 0.9243027888446215|300 -> 0.6573705179282868|
