combination_id;val1;val2;val3;expn_val
3;23 ~ 32;High school graduate ~ Some college, less than college graduate;Texas -> 0.11428571428571428|California -> 0.1012987012987013|Florida -> 0.06493506493506493|;CHE/110 -> 0.15584415584415584|HON/100 -> 0.14025974025974025|FOR/110 -> 0.14025974025974025|
3;26 ~ 33;Bachelor's degree ~ Master's degree;California -> 0.12654320987654322|Texas -> 0.07716049382716049|New Jersey -> 0.06172839506172839|;TOY/100 -> 0.20679012345679013|HON/100 -> 0.1697530864197531|TOY/110 -> 0.08641975308641975|
3;34 ~ 52;null ~ High school graduate;California -> 0.26380368098159507|Texas -> 0.2392638036809816|Florida -> 0.06748466257668712|;FOR/110 -> 0.3312883435582822|CHE/110 -> 0.294478527607362|TOY/100 -> 0.1411042944785276|
3;42 ~ 54;Associate's degree ~ Bachelor's degree;Texas -> 0.11627906976744186|California -> 0.08139534883720931|Wisconsin -> 0.06976744186046512|;FOR/110 -> 1.1395348837209303|FOR/100 -> 0.13953488372093023|TOY/110 -> 0.06976744186046512|
3;38 ~ 47;Bachelor's degree ~ Master's degree;California -> 0.16246498599439776|Texas -> 0.08123249299719888|Illinois -> 0.0784313725490196|;TOY/100 -> 0.1568627450980392|HON/110 -> 0.12605042016806722|TOY/110 -> 0.12324929971988796|
3;32 ~ 42;Some college, less than college graduate ~ Associate's degree;California -> 0.14018691588785046|Texas -> 0.09657320872274143|Florida -> 0.07165109034267912|;CHE/110 -> 0.1838006230529595|FOR/110 -> 0.17757009345794392|HON/100 -> 0.13395638629283488|
3;51 ~ 67;Master's degree ~ Professional/Doctorate degree;California -> 0.12195121951219512|New York -> 0.07317073170731707|Texas -> 0.06097560975609756|;TOY/100 -> 0.27439024390243905|HON/100 -> 0.21341463414634146|TOY/110 -> 0.13414634146341464|
3;52 ~ 66;Associate's degree ~ Bachelor's degree;California -> 0.15666666666666668|Florida -> 0.07333333333333333|Texas -> 0.06|;TOY/100 -> 0.19|CHE/110 -> 0.13|TOY/110 -> 0.12666666666666668|
3;58 ~ 70;High school graduate ~ Some college, less than college graduate;Florida -> 0.12890625|California -> 0.0859375|Texas -> 0.06640625|;FOR/110 -> 0.22265625|CHE/110 -> 0.2109375|TOY/100 -> 0.171875|
3;44 ~ 54;High school graduate ~ Some college, less than college graduate;California -> 0.10805084745762712|Texas -> 0.08050847457627118|Pennsylvania -> 0.0635593220338983|;FOR/110 -> 0.24364406779661016|CHE/110 -> 0.22245762711864406|TOY/110 -> 0.11864406779661017|
