combination_id;val1;val2;val3;expn_val
10;20677 ~ 28977;California -> 0.14175257731958762|Texas -> 0.11082474226804123|Florida -> 0.07216494845360824|;Other service -> 0.22164948453608246|Administrative support, including clerical -> 0.11855670103092783|Professional -> 0.09278350515463918|;FOR/110 -> 0.17783505154639176|TOY/100 -> 0.13402061855670103|CHE/110 -> 0.1211340206185567|
10;213369 ~ 309467;California -> 0.17142857142857143|Illinois -> 0.09523809523809523|Virginia -> 0.08571428571428572|;Professional -> 0.6285714285714286|Administrator, manager -> 0.1619047619047619|Teacher -> 0.05714285714285714|;TOY/110 -> 0.17142857142857143|HON/100 -> 0.1523809523809524|CHE/110 -> 0.13333333333333333|
10;47617 ~ 55327;California -> 0.11849710982658959|Texas -> 0.10115606936416185|New York -> 0.06936416184971098|;Professional -> 0.2023121387283237|Other service -> 0.12138728323699421|Administrator, manager -> 0.12138728323699421|;FOR/110 -> 0.21098265895953758|TOY/100 -> 0.18208092485549132|CHE/110 -> 0.16473988439306358|
10;370150 ~ 727461;California -> 0.2857142857142857|Texas -> 0.19047619047619047|Oregon -> 0.09523809523809523|;Professional -> 0.5238095238095238|Administrator, manager -> 0.2857142857142857|Teacher -> 0.09523809523809523|;FOR/110 -> 0.3333333333333333|CHE/110 -> 0.23809523809523808|BMW/100 -> 0.23809523809523808|
10;97895 ~ 115242;California -> 0.12158054711246201|Pennsylvania -> 0.07598784194528875|Texas -> 0.06990881458966565|;Professional -> 0.2917933130699088|Administrator, manager -> 0.16109422492401215|Administrative support, including clerical -> 0.0972644376899696|;HON/100 -> 0.2006079027355623|FOR/110 -> 0.2006079027355623|CHE/110 -> 0.19148936170212766|
10;34623 ~ 42539;California -> 0.12387387387387387|Texas -> 0.11261261261261261|Florida -> 0.11036036036036036|;Professional -> 0.15765765765765766|Other service -> 0.1554054054054054|Administrative support, including clerical -> 0.11936936936936937|;FOR/110 -> 0.15990990990990991|CHE/110 -> 0.15315315315315314|FOR/100 -> 0.10585585585585586|
10;130745 ~ 165296;California -> 0.1411764705882353|Illinois -> 0.0784313725490196|New Jersey -> 0.07450980392156863|;Professional -> 0.4196078431372549|Administrator, manager -> 0.23921568627450981|Sales, business goods and services -> 0.054901960784313725|;TOY/100 -> 0.17647058823529413|FOR/110 -> 0.16862745098039217|TOY/110 -> 0.1607843137254902|
10;61537 ~ 70033;California -> 0.12297734627831715|Texas -> 0.09061488673139159|Florida -> 0.08414239482200647|;Professional -> 0.2686084142394822|Administrator, manager -> 0.1262135922330097|Other service -> 0.11003236245954692|;CHE/110 -> 0.18122977346278318|FOR/110 -> 0.1650485436893204|HON/100 -> 0.1488673139158576|
10;76389 ~ 87546;California -> 0.13411078717201166|Texas -> 0.09329446064139942|Pennsylvania -> 0.06997084548104957|;Professional -> 0.3032069970845481|Administrator, manager -> 0.119533527696793|Other service -> 0.09329446064139942|;FOR/110 -> 0.2536443148688047|TOY/100 -> 0.24198250728862974|CHE/110 -> 0.19533527696793002|
10;2690 ~ 13590;California -> 0.13194444444444445|Texas -> 0.09027777777777778|Florida -> 0.06597222222222222|;Other service -> 0.2708333333333333|Sales, retail -> 0.13194444444444445|Professional -> 0.1076388888888889|;FOR/110 -> 0.125|CHE/110 -> 0.11458333333333333|TOY/100 -> 0.1076388888888889|
